TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
49:57.9,0.074502779,-0.107707273,-0.603614447,0.151397981,0.045314411,-0.423476213,-0.309936012,0.175865833,0.531327982,0.052888287,-0.292297411,0.703060366,0.549212487,0.275512147,0.536007295,0.697041344,0.34097746,0.610274067,0.377146761,0.368153619,806.6666667,802.6373626,797.8021978,809.0842491,919.4871795,-0.356934,0.102173,0.937073,3.783264,-7.574005,-2.160797,1,1,1,1,1,75,
49:58.9,0.015895538,0.253866524,-0.447909774,0.268673461,0.158320844,-0.145977555,-0.311366433,0.239682893,0.728909462,-0.049272785,-0.088642095,0.717542602,0.59585701,0.432297178,0.490948416,0.775369947,0.257502608,0.543524074,0.481173066,0.441358055,803.8461538,812.7106227,813.1135531,808.2783883,768.3882784,-0.35675,0.100952,0.934692,3.738403,-7.102966,-1.188812,1,1,1,1,1,75,
49:59.9,0.299724759,0.123179008,-0.483712017,0.174683191,0.067612484,-0.240564501,-0.245156366,0.21477949,0.73753323,-0.035428801,-0.018417238,0.471430957,0.534920825,0.531154825,0.703332822,0.577877156,0.208001969,0.546000336,0.499984291,0.122990721,789.7435897,811.0989011,774.4322344,810.6959707,734.9450549,-0.358093,0.098206,0.936829,3.805695,-7.125397,-1.398163,1,1,1,1,1,75,
50:00.9,0.457312961,0.18629882,-0.031325267,0.033162326,0.195469775,-0.058105514,-0.29030435,0.26358537,0.701464195,0.007229164,-0.048505513,0.447645791,0.555546745,0.301154083,0.698763523,0.592988244,0.185736186,0.52490281,0.530588806,0.144450653,800.2197802,803.040293,780.8791209,822.7838828,900.952381,-0.356506,0.109131,0.938782,4.239349,-6.519775,-0.747681,1,1,1,1,1,75,
50:01.9,0.295696954,0.330316728,-0.072647398,0.102407425,0.407630779,-0.316105623,-0.256201883,0.141254045,0.762404754,0.176256392,-0.017256346,0.464731979,0.572062908,0.343987731,0.488180298,0.794995756,0.292322637,0.526363349,0.334385067,0.520831603,786.5201465,816.3369963,799.8168498,796.5934066,570.952381,-0.361633,0.099304,0.932068,3.544006,-8.142242,-2.003784,1,1,1,1,1,75,
50:02.9,0.04315508,0.875278052,-0.037094048,0.233345462,0.396230234,0.266769117,-0.173960299,-0.10922481,0.861453076,0.535134538,-0.124198199,0.534007795,0.502995324,0.462759248,0.586640514,0.636475128,0.318797633,0.553685484,0.247988085,0.461699308,796.996337,809.4871795,796.5934066,806.6666667,865.8974359,-0.354492,0.1026,0.934265,3.917847,-7.162781,-1.233673,1,1,1,1,1,75,
50:03.9,0.141221088,0.226529977,-0.100924374,0.068791674,0.352383062,-0.01894362,-0.322896096,0.383551195,0.709941224,0.312635912,0.033818986,0.676418507,0.422222334,0.492435652,0.55622138,0.395778748,0.239808118,0.579350013,0.167383289,0.34902394,806.2637363,816.7399267,803.4432234,807.0695971,865.4945055,-0.354675,0.10144,0.938232,3.850555,-7.147827,-2.385101,1,1,1,1,1,75,
50:04.9,0.149321672,-0.085324384,-0.19775356,0.149410746,0.499538203,-0.18906689,-0.509866944,0.367042516,0.889606076,0.409439515,0.139245931,0.689178725,0.492022156,0.492100101,0.615119656,0.35241447,0.152889891,0.55358476,0.438010769,0.105245012,796.5934066,821.5750916,799.010989,804.2490842,631.7948718,-0.356567,0.103577,0.935608,4.142151,-6.459961,-1.016846,1,1,1,1,1,75,
50:05.9,0.234213036,0.034490673,-0.221437074,0.24519417,0.580433611,-0.218720631,-0.43794314,0.410469084,0.768748025,0.073312606,-0.01192223,0.59115224,0.599369634,0.419770316,0.607392468,0.643269323,0.221998408,0.582001362,0.428291624,0.480101897,811.9047619,814.7252747,792.967033,815.9340659,722.0512821,-0.359558,0.103271,0.933716,3.805695,-7.357178,-1.988831,1,1,1,1,1,75,
50:06.9,0.342788514,-0.389506819,-0.179549213,0.347780479,0.619312339,-0.344078663,-0.265310492,0.527952265,0.90993531,-0.141088415,-0.024473429,0.580835498,0.559014072,0.545291722,0.541838936,0.603376246,0.305097613,0.603924472,0.393508826,0.475533457,792.967033,794.5787546,796.996337,824.7985348,1046.813187,-0.359436,0.103699,0.932007,3.858032,-7.431946,-1.704712,1,1,1,1,1,75,
50:07.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
50:07.9,0.177992352,0.247810122,0.513792737,0.518657715,0.454793247,-0.151993741,0.195348074,0.424936465,0.639043962,0.09420755,0.019675896,0.360687202,0.580746509,0.484979463,0.496325492,0.456893467,0.223088311,0.596326204,0.437813473,0.360715241,815.5311355,821.1721612,796.996337,831.2454212,808.6813187,-0.360474,0.100403,0.934692,4.007568,-7.327271,-1.233673,1,1,1,1,1,75,
50:08.9,0.162809403,0.604610288,0.970835037,0.583072782,0.202064203,0.123417566,0.488432972,0.45878283,0.165375782,0.175371503,0.317736609,0.186163615,0.68199296,0.446066012,0.306325147,0.470943039,0.069668752,0.576117101,0.546074393,0.254885769,792.967033,812.7106227,809.8901099,793.7728938,607.6190476,-0.359802,0.099854,0.938171,3.947754,-7.416992,-2.145844,1,1,1,1,1,75,
50:09.9,0.413886381,0.003125778,0.63141589,0.522055914,0.610613648,0.104660794,0.217972797,0.503980248,0.926366619,0.255570993,0.32870011,0.802874957,0.670109617,0.370599504,0.460579402,0.661404994,0.266504812,0.669141467,0.64550239,0.515139812,794.5787546,786.5201465,796.1904762,802.2344322,1198.717949,-0.368408,0.106506,0.931763,4.687958,-6.631927,-0.598145,1,1,1,1,1,75,
